_id,Forward_Sortation_Area,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
191,M4P,CHARLES,GREAT PYRENEES / GOLDEN RETR,WHITE,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2023-03-31
192,M2K,GHOST,GERM SHEPHERD,BLACK,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2023-04-08
193,M4C,CALLIE,BULLMASTIFF,BLACK / WHITE,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2023-04-13
194,M1J,MOOSE,CANE CORSO,TAN / GREY,21,Scarborough Centre,NOT A BITE,PUBLIC PROPERTY,2023-04-16
195,M3J,ROMMEL,GERM SHEPHERD,BROWN / BLACK,07,Humber River-Black Creek,SEVERE,OTHER PRIVATE PROPERTY,2023-04-23
196,M5M,HARLEY,AMER BULLDOG,BR BRINDLE,08,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2023-04-27
197,M6P,SHIKA,PATTERDALE TERR / AM PIT BULL TER,BLUE / GREY,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2023-04-28
198,M3L,BEAR,BORDER COLLIE / LABRADOR RETR,BLACK / WHITE,07,Humber River-Black Creek,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-01
199,M9A,TRIXIE,LABRADOR RETR / AM PIT BULL TER,BLACK / BR BRINDLE,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
200,M9A,TYSON,LABRADOR RETR / AM PIT BULL TER,BLACK,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
201,M5T,ZEPPELIN,GERM SHEPHERD,BLACK / TAN,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-09
202,M4L,DAISY,GERM SHEPHERD / LABRADOR RETR,BLACK / TAN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2023-05-11
203,M4J,LADY,GOLDEN RETR / POODLE STND,WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2023-05-14
204,M1W,LUNA,FILA,BR BRINDLE / WHITE,22,Scarborough-Agincourt,NOT A BITE,PUBLIC PROPERTY,2023-06-06
205,M4J,FRIDA,AUST SHEPHERD,TRICOLOUR,14,Toronto-Danforth,NON SEVERE,PARK - LEASH REQUIRED AREA,2023-06-18
206,M6B,TYSON,POODLE STND / GOLDEN RETR,TAN,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2023-06-21
207,M4S,GIGI,AM PIT BULL TER / LABRADOR RETR,TRICOLOUR,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-06-23
208,M6H,VENTURE,GOLDEN RETR,GOLD,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-06-25
209,M1R,HERCEG,MASTIFF,TAN / BLACK,21,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-06-25
210,M1G,REIGN,BELG MALINOIS / DUTCH SHEPHERD,BROWN / TAN,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
211,M6G,MAX,BULLDOG MIX,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-29
212,M3A,ODIN,PRESA CANARIO,BL BRINDLE,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
213,M3A,FREYJA,AMER BULLDOG MIX,FAWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
214,M1M,COLD AS ICE (ARTIC),LABRADOR RETR,BLACK / WHITE,20,Scarborough Southwest,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-30
215,M9C,LUCIFER,ENG BULLDOG / AM PIT BULL TER,FAWN / WHITE,02,Etobicoke Centre,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-03
216,M3A,ARCHIE,PRESA CANARIO,BR BRINDLE / WHITE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2023-07-04
217,M1N,ZORRO,GERM SHEPHERD,BLACK / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2023-07-07
218,M1C,JADE,BOXER,TAN / WHITE,25,Scarborough-Rouge Park,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-10
219,M2N,HICHU,BORDER COLLIE,BLACK / WHITE,18,Willowdale,NOT A BITE,OTHER PRIVATE PROPERTY,2023-07-18
220,M4K,DRACO,ROTTWEILER / GERM SHEPHERD,BLACK / BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-07-18
221,M5T,REMY,ROTTWEILER MIX,BLACK,11,University-Rosedale,NON SEVERE,PUBLIC PROPERTY,2023-07-18
222,M1L,ATHENA,MASTIFF / ROTTWEILER,BROWN / WHITE,20,Scarborough Southwest,NOT A BITE,PUBLIC PROPERTY,2023-07-25
223,M6S,TILDA,BULL TERRIER,BR BRINDLE / WHITE,04,Parkdale-High Park,SEVERE,PARK - LEASH REQUIRED AREA,2023-07-30
224,M1S,ZEUS,AMER BULLDOG / CHOW CHOW,BLACK,23,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
225,M1S,BLANCA,AMER BULLDOG / CHOW CHOW,WHITE / BROWN,23,Scarborough North,SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
226,M1S,COOKIE,AMER BULLDOG / CHOW CHOW,BR BRINDLE,23,Scarborough North,VERY SEVERE,PARK - LEASH REQUIRED AREA,2023-08-02
227,M1E,RAGZ,BERNESE MTN DOG / POODLE STND,BLACK / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2023-08-12
228,M3C,ARCHIE,AMER BULLDOG / MASTIFF,GREY,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-08-20
229,M6C,MONTY,POODLE STND / BELG MALINOIS,BLACK,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-08-28
230,M1E,LEVI,GERM SHEPHERD / SIBERIAN HUSKY,BLACK / WHITE,24,Scarborough-Guildwood,NOT A BITE,PUBLIC PROPERTY,2023-09-01
231,M3H,NALA,LABRADOR RETR,BLACK,06,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2023-09-01
232,M1L,MOTTO,AMER BULLDOG MIX,GREY / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-04
233,M1M,SIMBA,GOLDEN RETR,GOLD,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-10
234,M6G,MANDO,AUST SHEPHERD,BROWN / WHITE,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2023-09-10
235,N3C,NALA,AMER BULLDOG MIX,BR BRINDLE / WHITE,,No Ward Info,SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
236,M6M,ICE,AMER BULLDOG / CHINESE SHARPEI,BROWN / WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
237,M5P,DOJI,AUST CATTLE DOG / ROTTWEILER,RED / TAN,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-09-26
238,M9C,NAIROBI,AMER BULLDOG,WHITE / TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2023-10-07
239,M1E,LUNA,GERM SHEPHERD / LABRADOR RETR,BLACK,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2023-10-09
240,M4S,GIGI,ALASKAN HUSKY,BLACK,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2023-10-12
241,M9B,MAX,GOLDEN RETR,GOLD,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-13
242,M5R,TITAN,AMER BULLDOG / AMERICAN STAFF,GREY / WHITE,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-20
243,M6M,LEO,PARSON RUSS TER / SHIH TZU,TAN,05,York South-Weston,NOT A BITE,PUBLIC PROPERTY,2023-10-29
244,M4C,WHEELER,LABRADOR RETR / BOXER,BLACK / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2023-11-05
245,M1K,EXO/AXEL,ROTTWEILER / LABRADOR RETR,BLACK / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2023-11-15
246,M9R,LYRYX,GERM SHEPHERD,BLACK,01,Etobicoke North,SEVERE,OWNERS PROPERTY,2023-11-24
247,M6A,PENNY,GERM SHEPHERD / COLLIE SMOOTH,BLACK / BROWN,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2023-11-26
248,M6J,GUNNAR,CANE CORSO MIX,FAWN,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2023-11-28
249,M9W,KYRO,BOXER / DOGO ARGENTINO,BR BRINDLE,01,Etobicoke North,NOT A BITE,OTHER PRIVATE PROPERTY,2023-12-07
250,M6E,PRINCE,LABRADOR RETR / RHOD RIDGEBACK,APRICOT / BLACK,09,Davenport,SEVERE,PARK - LEASH FREE AREA,2017-02-21
251,M8Y,BRADY,ROTTWEILER,BLACK / BROWN,03,Etobicoke-Lakeshore,NOT A BITE,OTHER PRIVATE PROPERTY,2023-12-17
252,M4L,OBI WAN,ROTTWEILER,BLACK / BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-12-31
253,M2H,BENNY,AMER BULLDOG / STAFFORDSHIRE,BR BRINDLE,17,Don Valley North,SEVERE,OWNERS PROPERTY,2023-12-31
254,M6G,LUCA,GOLDEN RETR / AM PIT BULL TER,GREY / WHITE,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2024-01-20
255,M6J,PHOENIX,ROTTWEILER,BLACK / TAN,09,Davenport,NON SEVERE,PUBLIC PROPERTY,2024-01-27
256,M5A,CALVIN,BORDER COLLIE,BROWN / WHITE,10,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,2024-01-28
257,M4A,KOBE,BOXER / STAFFORDSHIRE,GOLD / WHITE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2024-02-03
258,M4A,LUCKY,LABRADOR RETR / STAFFORDSHIRE,BLACK / WHITE,16,Don Valley East,NON SEVERE,OTHER PRIVATE PROPERTY,2024-02-03
259,M1W,LUNA,AM PIT BULL TER / ENG BULLDOG,BLACK / TRICOLOUR,22,Scarborough-Agincourt,NOT A BITE,OTHER PRIVATE PROPERTY,2024-02-05
260,M4S,BELLA,GERM SHEPHERD MIX,BROWN,12,Toronto-St. Paul's,NOT A BITE,PARK - LEASH REQUIRED AREA,2024-02-07
261,M5P,COOPER,BELG MALINOIS,BR BRINDLE,12,Toronto-St. Paul's,SEVERE,PARK - LEASH FREE AREA,2024-02-17
262,M4E,TITAN,AMER BULLDOG MIX,BEIGE / WHITE,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2024-02-20
263,M6J,CUBIK,SAMOYED,WHITE,10,Spadina-Fort York,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-03-03
264,M4L,ROCKY,AMER BULLDOG / BOXER,BR BRINDLE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2024-03-15
265,M9A,MOLLY,AMER BULLDOG,BLACK / GREY,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2024-03-24
266,M9P,CHUKIS/COOKIE,BERNESE MTN DOG / AMER BULLDOG,BROWN,01,Etobicoke North,NON SEVERE,OTHER PRIVATE PROPERTY,2024-03-28
267,M4L,NIKKI,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,SEVERE,OWNERS PROPERTY,2024-04-13
268,M9C,NELO,LABRADOR RETR / AMER BULLDOG,TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2024-04-30
269,M6K,BULLET,STAFFORDSHIRE MIX,TAN / WHITE,04,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2024-05-01
270,M9C,MAGGIE,GERM SHEPHERD,BLACK / TAN,02,Etobicoke Centre,VERY SEVERE,PUBLIC PROPERTY,2024-05-04
271,M6B,SHADOW,AMER BULLDOG,GREY,08,Eglinton-Lawrence,SEVERE,PARK - LEASH REQUIRED AREA,2024-05-04
272,M9P,ASTON,DOBERMAN PINSCH,BLACK / TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2024-05-06
273,M1B,WICK,AMER BULLDOG / ENG BULLDOG,BLUE,23,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-05-16
274,M1C,MULATTO,AMER BULLDOG,WHITE / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-05-21
275,M1C,DIAMOND,MASTIFF MIX,BLACK / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-05-21
276,M6B,ACE,AMER BULLDOG MIX,BLACK / WHITE,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2024-05-27
277,M6K,ONYX,AMER BULLDOG,BLACK / WHITE,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2024-06-01
278,M6G,HENNY,AMER BULLDOG,FAWN,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2024-06-02
279,M4N,PENNY,BERNESE MTN DOG / POODLE STND,BLACK / WHITE,15,Don Valley West,NON SEVERE,PUBLIC PROPERTY,2024-06-06
280,M1N,ZEUS,AMER BULLDOG,WHITE / TAN,20,Scarborough Southwest,NON SEVERE,PARK - LEASH REQUIRED AREA,2024-06-12
281,M6J,ZELOS,AMER BULLDOG,BLACK / WHITE,09,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2024-06-24
282,M9W,ARROW,RHOD RIDGEBACK / AMER BULLDOG,BROWN / WHITE,01,Etobicoke North,SEVERE,PUBLIC PROPERTY,2024-07-01
283,M5M,RYDER LACEY,SIBERIAN HUSKY / AKITA,WHITE,08,Eglinton-Lawrence,SEVERE,OWNERS PROPERTY,2024-07-05
284,M1G,ROXY,ROTTWEILER / LABRADOR RETR,BLACK / TAN,24,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,2024-07-06
285,M9R,IRIS,GERM SHEPHERD,BLACK / TAN,02,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2024-07-06
286,M1E,SCOTIA,AMER BULLDOG / ENG BULLDOG,GREY,25,Scarborough-Rouge Park,NON SEVERE,OTHER PRIVATE PROPERTY,2024-07-07
287,M1M,FLY,GERM SHEPHERD,BROWN / BLACK,20,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,2024-07-15
288,M8X,EGON,BULL TERRIER,WHITE,03,Etobicoke-Lakeshore,NON SEVERE,PUBLIC PROPERTY,2024-07-22
289,M1V,SKY,MALTESE,WHITE,22,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,2024-07-25
290,M5R,OTTO,GERM SHEPHERD / AUST SHEPHERD,TRICOLOUR,11,University-Rosedale,NON SEVERE,OWNERS PROPERTY,2024-07-26
291,M9P,ROCCO,AM PIT BULL TER / ENG BULLDOG,TAN / WHITE,02,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2023-12-11
292,M1E,DEXTER,GREAT DANE / PRESA CANARIO,BR BRINDLE / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2024-08-11
293,M2J,KALI,IRISH WOLFHOUND,BLACK / GREY,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2024-08-12
294,M5A,MICKEY,LABRADOR RETR / STAFFORDSHIRE,TAN / WHITE,13,Toronto Centre,SEVERE,PUBLIC PROPERTY,2024-08-26
295,M5V,FISH,AKITA,BROWN / WHITE,10,Spadina-Fort York,VERY SEVERE,PUBLIC PROPERTY,2024-08-29
296,M3L,NOVA,AM PIT BULL TER / ENG BULLDOG,TAN / TRICOLOUR,07,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,2024-09-01
297,M1C,KHLOE,ROTTWEILER MIX,BLACK / TAN,25,Scarborough-Rouge Park,SEVERE,OTHER PRIVATE PROPERTY,2024-09-01
298,M1C,MAGNUM,AMER BULLDOG MIX,WHITE / ORANGE,25,Scarborough-Rouge Park,SEVERE,OTHER PRIVATE PROPERTY,2024-09-01
299,M2H,TATIANA,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14
300,M2H,LUNA,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14
301,M2H,HERCULES,GERM SHEPHERD,BLACK,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2024-09-14
302,M3C,HARPER,GERM SHEPHERD,BLACK,16,Don Valley East,NON SEVERE,OTHER PRIVATE PROPERTY,2024-09-16
303,M5P,DUKE,BERNESE MTN DOG / POODLE STND,TRICOLOUR,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2024-09-18
304,M2J,REMINGTON,GERM SHEPHERD,BLACK / ORANGE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2024-09-19
305,M6H,STEVE,GREAT DANE / AMER BULLDOG,BLACK / WHITE,09,Davenport,VERY SEVERE,OWNERS PROPERTY,2024-09-21
306,M2K,HACHI,AKITA,BEIGE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2024-09-27
307,M8W,CHOO,GERM SHEPHERD,TAN / BLACK,03,Etobicoke-Lakeshore,NOT A BITE,OTHER PRIVATE PROPERTY,2024-10-01
308,M9M,ROSIE,BORDER COLLIE / GERM SHEPHERD,BLACK / WHITE,07,Humber River-Black Creek,VERY SEVERE,PUBLIC PROPERTY,2024-10-23
309,M1X,KENZO,AMER BULLDOG,BROWN,25,Scarborough-Rouge Park,SEVERE,OWNERS PROPERTY,2024-10-25
310,M1G,MAARAM,GOLDEN RETR / POODLE STND,CREAM,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2024-10-25
311,M2N,SPENCER,AMER BULLDOG,BLACK / WHITE,18,Willowdale,SEVERE,OTHER PRIVATE PROPERTY,2024-11-05
312,M4C,GUCCI,MASTIFF,GREY / WHITE,19,Beaches-East York,NON SEVERE,OTHER PRIVATE PROPERTY,2024-11-08
313,M3B,MACY,LABRADOR RETR,GOLD,15,Don Valley West,NON SEVERE,PUBLIC PROPERTY,2024-11-24
314,M5T,JAZZ,AMER BULLDOG / STAFFORDSHIRE,RED,11,University-Rosedale,NON SEVERE,OWNERS PROPERTY,2024-12-11
315,M4J,CHAI,AM PIT BULL TER MIX,BROWN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2024-12-24
316,M6G,PINKY,LABRADOR RETR MIX,BLACK / WHITE,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2024-12-27
317,M6G,BRUNO,ENG BULLDOG / PUG,TAN / WHITE,11,University-Rosedale,NON SEVERE,PUBLIC PROPERTY,2025-01-04
318,M4B,TARA,LABRADOR RETR / BORDER COLLIE,BLACK / WHITE,19,Beaches-East York,NON SEVERE,OWNERS PROPERTY,2025-01-12
319,M2H,OCEAN,PRESA CANARIO / MASTIFF,GOLD,17,Don Valley North,NON SEVERE,OTHER PRIVATE PROPERTY,2025-01-16
320,M4L,MABEL,BEAGLE / PUG,GOLD,19,Beaches-East York,NON SEVERE,OTHER PRIVATE PROPERTY,2025-01-17
321,M1M,PRINCE,POODLE STND MIX,GREY,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2025-01-17
322,M4E,AXL,ROTTWEILER,BLACK / BROWN,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2025-01-21
323,M4N,KOKO,JINDO MIX,BLACK,08,Eglinton-Lawrence,SEVERE,PARK - LEASH REQUIRED AREA,2025-01-23
324,M4W,SIMBA,GOLDEN RETR MIX,GOLD,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2025-02-08
325,M4S,PABLO,LABRADOR RETR,CHOCOLATE,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2025-02-14
326,M9W,KING,ROTTWEILER,BLACK / TAN,01,Etobicoke North,SEVERE,PUBLIC PROPERTY,2025-03-07
327,M3L,KOBE,GERM SHEPHERD,RED / WHITE,07,Humber River-Black Creek,SEVERE,OTHER PRIVATE PROPERTY,2025-03-13
328,M1M,ROCKY,ROTTWEILER,BLACK / TAN,20,Scarborough Southwest,SEVERE,PARK - LEASH FREE AREA,2025-03-17
329,M1T,LUNA,DOGO ARGENTINO / CANE CORSO,WHITE / BLACK,22,Scarborough-Agincourt,VERY SEVERE,OTHER PRIVATE PROPERTY,2025-03-19
330,M1P,BLAKE,LABRADOR RETR,BLACK,21,Scarborough Centre,SEVERE,PUBLIC PROPERTY,2025-04-23
331,M6E,KILO,AMER BULLDOG MIX,BLACK / WHITE,09,Davenport,VERY SEVERE,PUBLIC PROPERTY,2025-04-26
332,M1N,ZACH,BULLMASTIFF / AMER BULLDOG,TAN,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2024-08-06
